video_id,video_path,category,binary_label,compression,split,original_fps,num_frames
id0_0000,Celeb-real/id0_0000.mp4,Celeb-real,1,celeb-dc,test,30.0,469
id0_0001,Celeb-real/id0_0001.mp4,Celeb-real,1,celeb-dc,test,30.0,303
id0_0002,Celeb-real/id0_0002.mp4,Celeb-real,1,celeb-dc,test,30.0,350
id0_0003,Celeb-real/id0_0003.mp4,Celeb-real,1,celeb-dc,test,30.0,529
id0_0004,Celeb-real/id0_0004.mp4,Celeb-real,1,celeb-dc,test,30.0,326
id0_0005,Celeb-real/id0_0005.mp4,Celeb-real,1,celeb-dc,test,30.0,459
id0_0006,Celeb-real/id0_0006.mp4,Celeb-real,1,celeb-dc,test,30.0,534
id0_0007,Celeb-real/id0_0007.mp4,Celeb-real,1,celeb-dc,test,30.0,479
id0_0008,Celeb-real/id0_0008.mp4,Celeb-real,1,celeb-dc,test,30.0,464
id0_0009,Celeb-real/id0_0009.mp4,Celeb-real,1,celeb-dc,test,30.0,520
id10_0000,Celeb-real/id10_0000.mp4,Celeb-real,1,celeb-dc,test,30.0,239
id10_0001,Celeb-real/id10_0001.mp4,Celeb-real,1,celeb-dc,test,30.0,145
id10_0002,Celeb-real/id10_0002.mp4,Celeb-real,1,celeb-dc,test,30.0,322
id10_0003,Celeb-real/id10_0003.mp4,Celeb-real,1,celeb-dc,test,30.0,351
id10_0004,Celeb-real/id10_0004.mp4,Celeb-real,1,celeb-dc,test,30.0,517
id10_0005,Celeb-real/id10_0005.mp4,Celeb-real,1,celeb-dc,test,30.0,318
id10_0006,Celeb-real/id10_0006.mp4,Celeb-real,1,celeb-dc,test,30.0,172
id10_0007,Celeb-real/id10_0007.mp4,Celeb-real,1,celeb-dc,test,30.0,502
id10_0008,Celeb-real/id10_0008.mp4,Celeb-real,1,celeb-dc,test,30.0,380
id10_0009,Celeb-real/id10_0009.mp4,Celeb-real,1,celeb-dc,test,30.0,535
id11_0000,Celeb-real/id11_0000.mp4,Celeb-real,1,celeb-dc,test,30.0,373
id11_0001,Celeb-real/id11_0001.mp4,Celeb-real,1,celeb-dc,test,30.0,441
id11_0002,Celeb-real/id11_0002.mp4,Celeb-real,1,celeb-dc,test,30.0,357
id11_0003,Celeb-real/id11_0003.mp4,Celeb-real,1,celeb-dc,test,30.0,313
id11_0004,Celeb-real/id11_0004.mp4,Celeb-real,1,celeb-dc,test,30.0,350
id11_0005,Celeb-real/id11_0005.mp4,Celeb-real,1,celeb-dc,test,30.0,327
id11_0006,Celeb-real/id11_0006.mp4,Celeb-real,1,celeb-dc,test,30.0,316
id11_0007,Celeb-real/id11_0007.mp4,Celeb-real,1,celeb-dc,test,30.0,320
id11_0008,Celeb-real/id11_0008.mp4,Celeb-real,1,celeb-dc,test,30.0,371
id11_0009,Celeb-real/id11_0009.mp4,Celeb-real,1,celeb-dc,test,30.0,397
id11_0010,Celeb-real/id11_0010.mp4,Celeb-real,1,celeb-dc,test,30.0,330
id12_0000,Celeb-real/id12_0000.mp4,Celeb-real,1,celeb-dc,test,30.0,376
id12_0001,Celeb-real/id12_0001.mp4,Celeb-real,1,celeb-dc,test,30.0,398
id12_0002,Celeb-real/id12_0002.mp4,Celeb-real,1,celeb-dc,test,30.0,364
id12_0003,Celeb-real/id12_0003.mp4,Celeb-real,1,celeb-dc,test,30.0,379
id12_0004,Celeb-real/id12_0004.mp4,Celeb-real,1,celeb-dc,test,30.0,339
id12_0005,Celeb-real/id12_0005.mp4,Celeb-real,1,celeb-dc,test,30.0,314
id12_0006,Celeb-real/id12_0006.mp4,Celeb-real,1,celeb-dc,test,30.0,308
id13_0000,Celeb-real/id13_0000.mp4,Celeb-real,1,celeb-dc,test,30.0,327
id13_0001,Celeb-real/id13_0001.mp4,Celeb-real,1,celeb-dc,test,30.0,349
id13_0002,Celeb-real/id13_0002.mp4,Celeb-real,1,celeb-dc,test,30.0,400
id13_0003,Celeb-real/id13_0003.mp4,Celeb-real,1,celeb-dc,test,30.0,340
id13_0004,Celeb-real/id13_0004.mp4,Celeb-real,1,celeb-dc,test,30.0,352
id13_0005,Celeb-real/id13_0005.mp4,Celeb-real,1,celeb-dc,test,30.0,309
id13_0006,Celeb-real/id13_0006.mp4,Celeb-real,1,celeb-dc,test,30.0,333
id13_0007,Celeb-real/id13_0007.mp4,Celeb-real,1,celeb-dc,test,29.867995,452
id13_0008,Celeb-real/id13_0008.mp4,Celeb-real,1,celeb-dc,test,30.0,459
id13_0009,Celeb-real/id13_0009.mp4,Celeb-real,1,celeb-dc,test,30.0,435
id13_0010,Celeb-real/id13_0010.mp4,Celeb-real,1,celeb-dc,test,30.0,332
id13_0011,Celeb-real/id13_0011.mp4,Celeb-real,1,celeb-dc,test,30.0,466
id13_0012,Celeb-real/id13_0012.mp4,Celeb-real,1,celeb-dc,test,30.0,510
id13_0013,Celeb-real/id13_0013.mp4,Celeb-real,1,celeb-dc,test,30.0,459
id13_0014,Celeb-real/id13_0014.mp4,Celeb-real,1,celeb-dc,test,30.0,390
id13_0015,Celeb-real/id13_0015.mp4,Celeb-real,1,celeb-dc,test,30.0,489
id16_0000,Celeb-real/id16_0000.mp4,Celeb-real,1,celeb-dc,test,30.0,317
id16_0001,Celeb-real/id16_0001.mp4,Celeb-real,1,celeb-dc,test,30.0,316
id16_0002,Celeb-real/id16_0002.mp4,Celeb-real,1,celeb-dc,test,30.0,363
id16_0003,Celeb-real/id16_0003.mp4,Celeb-real,1,celeb-dc,test,30.0,303
id16_0004,Celeb-real/id16_0004.mp4,Celeb-real,1,celeb-dc,test,30.0,410
id16_0005,Celeb-real/id16_0005.mp4,Celeb-real,1,celeb-dc,test,30.0,345
id16_0006,Celeb-real/id16_0006.mp4,Celeb-real,1,celeb-dc,test,30.0,224
id16_0007,Celeb-real/id16_0007.mp4,Celeb-real,1,celeb-dc,test,30.0,284
id16_0008,Celeb-real/id16_0008.mp4,Celeb-real,1,celeb-dc,test,30.0,337
id16_0009,Celeb-real/id16_0009.mp4,Celeb-real,1,celeb-dc,test,30.0,315
id16_0010,Celeb-real/id16_0010.mp4,Celeb-real,1,celeb-dc,test,30.0,325
id16_0011,Celeb-real/id16_0011.mp4,Celeb-real,1,celeb-dc,test,30.0,272
id16_0012,Celeb-real/id16_0012.mp4,Celeb-real,1,celeb-dc,test,30.0,308
id16_0013,Celeb-real/id16_0013.mp4,Celeb-real,1,celeb-dc,test,30.0,311
id17_0000,Celeb-real/id17_0000.mp4,Celeb-real,1,celeb-dc,test,30.0,305
id17_0001,Celeb-real/id17_0001.mp4,Celeb-real,1,celeb-dc,test,30.0,315
id17_0002,Celeb-real/id17_0002.mp4,Celeb-real,1,celeb-dc,test,30.0,334
id17_0003,Celeb-real/id17_0003.mp4,Celeb-real,1,celeb-dc,test,30.0,247
id17_0004,Celeb-real/id17_0004.mp4,Celeb-real,1,celeb-dc,test,30.0,306
id17_0005,Celeb-real/id17_0005.mp4,Celeb-real,1,celeb-dc,test,30.0,312
id17_0006,Celeb-real/id17_0006.mp4,Celeb-real,1,celeb-dc,test,30.0,201
id17_0007,Celeb-real/id17_0007.mp4,Celeb-real,1,celeb-dc,test,30.0,274
id17_0008,Celeb-real/id17_0008.mp4,Celeb-real,1,celeb-dc,test,30.0,269
id17_0009,Celeb-real/id17_0009.mp4,Celeb-real,1,celeb-dc,test,30.0,298
id19_0000,Celeb-real/id19_0000.mp4,Celeb-real,1,celeb-dc,test,29.799997,327
id19_0001,Celeb-real/id19_0001.mp4,Celeb-real,1,celeb-dc,test,29.558997,335
id19_0002,Celeb-real/id19_0002.mp4,Celeb-real,1,celeb-dc,test,30.0,320
id19_0003,Celeb-real/id19_0003.mp4,Celeb-real,1,celeb-dc,test,29.700004,337
id19_0004,Celeb-real/id19_0004.mp4,Celeb-real,1,celeb-dc,test,29.599988,323
id19_0005,Celeb-real/id19_0005.mp4,Celeb-real,1,celeb-dc,test,29.700018,322
id19_0006,Celeb-real/id19_0006.mp4,Celeb-real,1,celeb-dc,test,29.800011,338
id19_0007,Celeb-real/id19_0007.mp4,Celeb-real,1,celeb-dc,test,30.0,328
id19_0008,Celeb-real/id19_0008.mp4,Celeb-real,1,celeb-dc,test,28.756999,324
id19_0009,Celeb-real/id19_0009.mp4,Celeb-real,1,celeb-dc,test,30.0,341
id1_0000,Celeb-real/id1_0000.mp4,Celeb-real,1,celeb-dc,test,30.0,371
id1_0001,Celeb-real/id1_0001.mp4,Celeb-real,1,celeb-dc,test,30.0,276
id1_0002,Celeb-real/id1_0002.mp4,Celeb-real,1,celeb-dc,test,30.0,400
id1_0003,Celeb-real/id1_0003.mp4,Celeb-real,1,celeb-dc,test,30.0,451
id1_0004,Celeb-real/id1_0004.mp4,Celeb-real,1,celeb-dc,test,30.0,409
id1_0005,Celeb-real/id1_0005.mp4,Celeb-real,1,celeb-dc,test,30.0,422
id1_0006,Celeb-real/id1_0006.mp4,Celeb-real,1,celeb-dc,test,30.0,505
