video_id,video_path,category,binary_label,compression,split,original_fps,num_frames
01_02__meeting_serious__YVGY8LOK,DeepFakeDetection/01_02__meeting_serious__YVGY8LOK.mp4,DeepFakeDetection,1,c23,train,24.0,1044
01_02__outside_talking_still_laughing__YVGY8LOK,DeepFakeDetection/01_02__outside_talking_still_laughing__YVGY8LOK.mp4,DeepFakeDetection,1,c23,train,24.0,727
01_02__talking_against_wall__YVGY8LOK,DeepFakeDetection/01_02__talking_against_wall__YVGY8LOK.mp4,DeepFakeDetection,1,c23,train,24.0,841
01_02__walk_down_hall_angry__YVGY8LOK,DeepFakeDetection/01_02__walk_down_hall_angry__YVGY8LOK.mp4,DeepFakeDetection,1,c23,train,24.0,217
01_02__walking_down_indoor_hall_disgust__YVGY8LOK,DeepFakeDetection/01_02__walking_down_indoor_hall_disgust__YVGY8LOK.mp4,DeepFakeDetection,1,c23,train,24.0,773
01_03__hugging_happy__ISF9SP4G,DeepFakeDetection/01_03__hugging_happy__ISF9SP4G.mp4,DeepFakeDetection,1,c23,train,24.0,605
01_03__kitchen_pan__JZUXXFRB,DeepFakeDetection/01_03__kitchen_pan__JZUXXFRB.mp4,DeepFakeDetection,1,c23,train,24.0,455
01_03__podium_speech_happy__480LQD1C,DeepFakeDetection/01_03__podium_speech_happy__480LQD1C.mp4,DeepFakeDetection,1,c23,train,24.0,898
01_03__talking_against_wall__JZUXXFRB,DeepFakeDetection/01_03__talking_against_wall__JZUXXFRB.mp4,DeepFakeDetection,1,c23,train,24.0,843
01_04__hugging_happy__GBC7ZGDP,DeepFakeDetection/01_04__hugging_happy__GBC7ZGDP.mp4,DeepFakeDetection,1,c23,train,24.0,538
01_04__meeting_serious__0XUW13RW,DeepFakeDetection/01_04__meeting_serious__0XUW13RW.mp4,DeepFakeDetection,1,c23,train,24.0,1045
01_04__talking_angry_couch__0XUW13RW,DeepFakeDetection/01_04__talking_angry_couch__0XUW13RW.mp4,DeepFakeDetection,1,c23,train,24.0,1465
01_04__walk_down_hall_angry__GBC7ZGDP,DeepFakeDetection/01_04__walk_down_hall_angry__GBC7ZGDP.mp4,DeepFakeDetection,1,c23,train,24.0,224
01_09__talking_angry_couch__P70H1JB0,DeepFakeDetection/01_09__talking_angry_couch__P70H1JB0.mp4,DeepFakeDetection,1,c23,train,24.0,1463
01_11__hugging_happy__4OJNJLOO,DeepFakeDetection/01_11__hugging_happy__4OJNJLOO.mp4,DeepFakeDetection,1,c23,train,24.0,579
01_11__meeting_serious__9OM3VE0Y,DeepFakeDetection/01_11__meeting_serious__9OM3VE0Y.mp4,DeepFakeDetection,1,c23,train,24.0,1045
01_11__meeting_serious__FCNL2OVP,DeepFakeDetection/01_11__meeting_serious__FCNL2OVP.mp4,DeepFakeDetection,1,c23,train,24.0,1045
01_11__outside_talking_pan_laughing__WIZ7GKOD,DeepFakeDetection/01_11__outside_talking_pan_laughing__WIZ7GKOD.mp4,DeepFakeDetection,1,c23,train,24.0,506
