key,video_id,frame_path,category,video_name,label,binary_label,split,frame_number,original_frame_index,timestamp,video_fps,extraction_fps,width,height,face_detected,num_faces,face_confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_source,landmarks,alignment_mode,crop_scale,align_status,crop_status,crop_x1,crop_y1,crop_x2,crop_y2,crop_size,crop_source,aligned_width,aligned_height,aligned_size,align_canvas_width,align_canvas_height,align_canvas_size,affine_matrix,image_format,detect_every_k
original/007/007_frame_00000,original/007,original/007_frame_00000.jpg,original,007,real,1,train,0,0,0.0,25.0,5,600,480,1,1,0.998641,323,92,399,195,detected,"{'left_eye': [378.58831787109375, 136.47821044921875], 'right_eye': [343.41436767578125, 133.73081970214844], 'nose': [359.488525390625, 154.6985626220703], 'mouth_left': [374.52471923828125, 170.3135986328125], 'mouth_right': [343.7456970214844, 167.68212890625]}",similarity_5pts_then_bbox_crop,1.3,ok,ok,0,0,336,336,336,aligned_bbox_1.3x,224,224,"[224, 224]",336,336,"[336, 336]","[[0.6452991404235835, -3.1690538770681793, 423.94566790782073], [3.1690538770681793, 0.6452991404235835, -1021.2140340742577]]",.jpg,5
original/007/007_frame_00001,original/007,original/007_frame_00001.jpg,original,007,real,1,train,1,5,0.2,25.0,5,600,480,1,1,0.998641,323,92,399,195,interpolated,"{'left_eye': [378.6258911132812, 136.53738403320312], 'right_eye': [343.5007263183594, 133.49042358398438], 'nose': [359.5807800292969, 154.69641723632813], 'mouth_left': [374.23798828125, 170.3211883544922], 'mouth_right': [343.49133911132816, 167.4367401123047]}",similarity_5pts_then_bbox_crop,1.3,ok,ok,0,0,336,336,336,aligned_bbox_1.3x,224,224,"[224, 224]",336,336,"[336, 336]","[[0.674423346159949, -3.1648974346123397, 412.6267688104983], [3.1648974346123397, 0.674423346159949, -1024.0078971071564]]",.jpg,5
original/007/007_frame_00002,original/007,original/007_frame_00002.jpg,original,007,real,1,train,2,10,0.4,25.0,5,600,480,1,1,0.998641,322,92,399,195,interpolated,"{'left_eye': [378.66346435546876, 136.5965576171875], 'right_eye': [343.58708496093755, 133.25002746582032], 'nose': [359.67303466796875, 154.69427185058595], 'mouth_left': [373.9512573242188, 170.3287780761719], 'mouth_right': [343.23698120117183, 167.19135131835935]}",similarity_5pts_then_bbox_crop,1.3,ok,ok,0,0,336,336,336,aligned_bbox_1.3x,224,224,"[224, 224]",336,336,"[336, 336]","[[0.7034766534376625, -3.1599944531760387, 401.22207919289593], [3.1599944531760387, 0.7034766534376625, -1026.518650039274]]",.jpg,5
original/007/007_frame_00003,original/007,original/007_frame_00003.jpg,original,007,real,1,train,3,15,0.6,25.0,5,600,480,1,1,0.998641,322,92,398,194,interpolated,"{'left_eye': [378.70103759765624, 136.65573120117188], 'right_eye': [343.6734436035156, 133.00963134765624], 'nose': [359.7652893066406, 154.69212646484374], 'mouth_left': [373.6645263671875, 170.33636779785155], 'mouth_right': [342.98262329101567, 166.94596252441409]}",similarity_5pts_then_bbox_crop,1.3,ok,ok,0,0,336,336,336,aligned_bbox_1.3x,224,224,"[224, 224]",336,336,"[336, 336]","[[0.08901893078568972, 3.3112586818585608, -372.8832462813078], [-3.3112586818585608, 0.08901893078568972, 1395.6904969246045]]",.jpg,5
original/007/007_frame_00004,original/007,original/007_frame_00004.jpg,original,007,real,1,train,4,20,0.8,25.0,5,600,480,1,1,0.998641,321,92,398,194,interpolated,"{'left_eye': [378.7386108398438, 136.71490478515625], 'right_eye': [343.7598022460937, 132.76923522949218], 'nose': [359.8575439453125, 154.68998107910156], 'mouth_left': [373.37779541015624, 170.34395751953127], 'mouth_right': [342.72826538085934, 166.70057373046873]}",similarity_5pts_then_bbox_crop,1.3,ok,ok,0,0,336,336,336,aligned_bbox_1.3x,224,224,"[224, 224]",336,336,"[336, 336]","[[0.05980415579572738, 3.3100741618654483, -361.9605589033564], [-3.3100741618654483, 0.05980415579572738, 1399.5928213700108]]",.jpg,5
original/007/007_frame_00005,original/007,original/007_frame_00005.jpg,original,007,real,1,train,5,25,1.0,25.0,5,600,480,1,1,0.998709,321,92,398,194,detected,"{'left_eye': [378.77618408203125, 136.77407836914062], 'right_eye': [343.8461608886719, 132.52883911132812], 'nose': [359.9497985839844, 154.68783569335938], 'mouth_left': [373.091064453125, 170.35154724121094], 'mouth_right': [342.4739074707031, 166.45518493652344]}",similarity_5pts_then_bbox_crop,1.3,ok,ok,0,0,336,336,336,aligned_bbox_1.3x,224,224,"[224, 224]",336,336,"[336, 336]","[[0.030655896697084396, 3.3081666604257443, -350.95404622014826], [-3.3081666604257443, 0.030655896697084396, 1403.220860421905]]",.jpg,5
original/007/007_frame_00006,original/007,original/007_frame_00006.jpg,original,007,real,1,train,6,30,1.2,25.0,5,600,480,1,1,0.998337,321,91,398,193,interpolated,"{'left_eye': [378.4066101074219, 135.6682098388672], 'right_eye': [343.4426452636719, 132.05902404785155], 'nose': [359.3904052734375, 153.7231414794922], 'mouth_left': [372.64265747070317, 169.85988464355472], 'mouth_right': [342.83714599609374, 166.5138671875]}",similarity_5pts_then_bbox_crop,1.3,ok,ok,0,0,336,336,336,aligned_bbox_1.3x,224,224,"[224, 224]",336,336,"[336, 336]","[[0.124624082096138, 3.2940714989131514, -380.43612216734414], [-3.2940714989131514, 0.124624082096138, 1383.2601707958306]]",.jpg,5
original/007/007_frame_00007,original/007,original/007_frame_00007.jpg,original,007,real,1,train,7,35,1.4,25.0,5,600,480,1,1,0.998337,321,91,398,192,interpolated,"{'left_eye': [378.0370361328125, 134.56234130859374], 'right_eye': [343.03912963867185, 131.589208984375], 'nose': [358.83101196289067, 152.75844726562502], 'mouth_left': [372.1942504882812, 169.36822204589845], 'mouth_right': [343.20038452148435, 166.57254943847659]}",similarity_5pts_then_bbox_crop,1.3,ok,ok,0,0,336,336,336,aligned_bbox_1.3x,224,224,"[224, 224]",336,336,"[336, 336]","[[0.7982344724400121, -3.1545571089868774, 362.41210967055804], [3.1545571089868774, 0.7982344724400121, -1034.5195398877513]]",.jpg,5
original/007/007_frame_00008,original/007,original/007_frame_00008.jpg,original,007,real,1,train,8,40,1.6,25.0,5,600,480,1,1,0.998337,322,90,398,192,interpolated,"{'left_eye': [377.66746215820314, 133.45647277832032], 'right_eye': [342.6356140136719, 131.11939392089843], 'nose': [358.2716186523437, 151.79375305175782], 'mouth_left': [371.7458435058594, 168.87655944824218], 'mouth_right': [343.563623046875, 166.6312316894531]}",similarity_5pts_then_bbox_crop,1.3,ok,ok,0,0,336,336,336,aligned_bbox_1.3x,224,224,"[224, 224]",336,336,"[336, 336]","[[0.8020294792222628, -3.160093307787256, 360.239041169447], [3.160093307787256, 0.8020294792222628, -1035.0739890002185]]",.jpg,5
original/007/007_frame_00009,original/007,original/007_frame_00009.jpg,original,007,real,1,train,9,45,1.8,25.0,5,600,480,1,1,0.998337,322,90,398,191,interpolated,"{'left_eye': [377.2978881835937, 132.35060424804686], 'right_eye': [342.2320983886719, 130.6495788574219], 'nose': [357.7122253417969, 150.8290588378906], 'mouth_left': [371.2974365234375, 168.38489685058593], 'mouth_right': [343.92686157226564, 166.68991394042968]}",similarity_5pts_then_bbox_crop,1.3,ok,ok,0,0,336,336,336,aligned_bbox_1.3x,224,224,"[224, 224]",336,336,"[336, 336]","[[0.8056093521336167, -3.1647196008948506, 358.0028341274657], [3.1647196008948506, 0.8056093521336167, -1035.2611579418462]]",.jpg,5
